# LAMMPS data file written by WriteLammpsdata function in RASPA(written by Zhao Li)
1007  atoms
0  bonds
0  angles
0  dihedrals
0  impropers
0.0      36.174000000000 xlo xhi
0.0      31.409760388580 ylo yhi
0.0      39.621370056408 zlo zhi
  -18.246440127652    -0.161748620188    -0.088923995918 xy xz yz

5 atom types
0 bond types
0 angle types
0 dihedral types
0 improper types

Masses

1     83.800000000000  # Kr_
2     15.999404927130  # O
3     12.010735896764  # C
4     51.996133070619  # Cr
5      1.007940753896  # H

Pair Coeffs

1      0.330670586763      3.636000000000 # Kr_
2      0.059993659942      3.120000000000 # O
3      0.104983936891      3.430000000000 # C
4      0.015003382993      2.690000000000 # Cr
5      0.043996675426      2.570000000000 # H

Atoms

168  1  3                 0.0		           8.96070             1.72384            31.80645		# C
169  1  5                 0.0		          -2.27680            15.16196            30.08926		# H
170  1  5                 0.0		          -2.32402            13.56298            28.23221		# H
171  1  5                 0.0		           1.83434            14.42624            27.40828		# H
172  1  5                 0.0		          10.98627             0.31516            29.26712		# H
173  1  3                 0.0		          13.34708             7.75351            29.80537		# C
174  1  3                 0.0		          -3.54878             7.08201            29.50762		# C
175  1  3                 0.0		          -2.74967             7.50749            28.44180		# C
176  1  3                 0.0		          -3.13334             8.61236            27.65770		# C
177  1  3                 0.0		          -4.33444             9.27975            27.96635		# C
178  1  3                 0.0		          -5.13093             8.85192            29.03236		# C
179  1  3                 0.0		          12.52395             7.31367            30.90071		# C
180  1  3                 0.0		          11.83217             6.94114            31.81497		# C
181  1  5                 0.0		          -3.23723             6.22979            30.09976		# H
182  1  5                 0.0		          -1.83144             6.97242            28.23419		# H
183  1  5                 0.0		          -4.65935            10.13461            27.38669		# H
184  1  5                 0.0		          12.03539             9.37863            29.25424		# H
185  1  3                 0.0		           4.41404             7.74802            29.80240		# C
186  1  3                 0.0		           4.39887             9.11719            29.51297		# C
187  1  3                 0.0		           3.62799             9.60250            28.45191		# C
188  1  3                 0.0		           2.86147             8.72212            27.66443		# C
189  1  3                 0.0		           2.88503             7.34648            27.96556		# C
190  1  3                 0.0		           3.65626             6.86463            29.02681		# C
191  1  3                 0.0		           5.20903             7.24898            30.89318		# C
192  1  3                 0.0		           5.87853             6.83186            31.80467		# C
193  1  5                 0.0		           4.98247             9.80986            30.10768		# H
194  1  5                 0.0		           3.63191            10.66649            28.25004		# H
195  1  5                 0.0		           2.30607             6.64076            27.38292		# H
196  1  5                 0.0		           3.66122             5.80266            29.24235		# H
197  1  3                 0.0		           8.87683            -0.02417            39.52826		# C
198  1  3                 0.0		          -1.31707            15.49575            20.47771		# C
