ID Temp Pres Molec_cm3overcm3
NEHMUJ_clean 298 10000 25.2453479929
OFUFUR_clean 298 10000 21.6157955607
PEBNEP_clean 298 10000 24.0452019955
PIZRAT_clean 298 10000 47.4034138687
REBRUM_clean 298 10000 93.2920475585
RUSXEK_clean 298 10000 58.7559789069
TILVOZ_clean 298 10000 79.861279449
UHISEK_clean 298 10000 34.8164429278
UTEXIB_clean 298 10000 62.1212823506
VURMOL_clean 298 10000 117.0443133093
XISLOC_clean 298 10000 54.0198486153
YODJEI_clean 298 10000 107.2900620667
ZEZQAY_clean 298 10000 65.5374199832
COYTIU_clean 298 10000 42.8160679047
DANVAQ_clean 298 10000 37.6661426761
ESIFET_clean 298 10000 70.020527755
GARTAX_clean 298 10000 54.3380436486
jacs.6b02030_ja6b02030_si_004_clean 298 10000 42.7975071498
LABZEW_clean 298 10000 90.4299669397
LUYBIS_clean 298 10000 83.8488139656
OTATOT_clean 298 10000 60.180438422
QODHUO01_clean 298 10000 47.7534786563
SOQDEI_clean 298 10000 75.0015089526
TACPAP_clean 298 10000 21.203492846
UQENIP_clean 298 10000 66.9866049424
WABWAY_clean 298 10000 55.3904828273
WITJUG_clean 298 10000 71.4107693316
WIZMAV02_auto 298 10000 97.0139005002
XAFFOB_clean 298 10000 135.6401901535
YEDKUO_clean 298 10000 109.8065051518
ZARLEL_clean 298 10000 118.9405066147
ATOGEV_clean 298 10000 67.7660783467
AZILEC_clean 298 10000 35.8483433979
CAZGOZ_clean 298 10000 73.0456766854
FEBXER_clean 298 10000 92.7400323672
FOFCUA_clean 298 10000 46.1857701668
HOGLEV_clean 298 10000 111.8917573278
IKEVAW_clean 298 10000 61.829352832
LUMZEA_clean 298 10000 31.3796142274
PIBPEW_clean 298 10000 88.6709700799
POKSEP_clean 298 10000 26.7341419608
PUTYEI_clean 298 10000 76.4258164143
QILBUK_clean 298 10000 101.2469562196
QUTTII01_clean 298 10000 63.3571191715
REGLOG_clean 298 10000 36.5252165686
SUKNOC_charged 298 10000 106.1344167263
YUZYAU_clean 298 10000 120.6120184398
ACALIB_clean 298 10000 0.305026416
AFOTOF_clean 298 10000 80.1397742983
AQEQES_clean 298 10000 78.0277986963
BAWRUO_clean 298 10000 60.3893040236
c5dt01190f_c5dt01190f2_clean 298 10000 50.7796168205
DABGIZ_clean 298 10000 22.9745852388
IFESAP_clean 298 10000 102.1043124322
KAVGAQ_clean 298 10000 57.4547372545
KUVMEV_clean 298 10000 28.1940191573
LEHXUT_clean 298 10000 134.725322244
OLONAG_clean 298 10000 41.2492616571
OLUCAZ_clean 298 10000 31.7837159829
PULDOQ_clean 298 10000 7.8532060571
QIYDOT_clean 298 10000 142.9435880417
TACFIN_clean 298 10000 43.5151773523
UMOYOM13_clean 298 10000 110.4867405461
VETMIS_clean 298 10000 138.0126360069
XUMVEH_clean 298 10000 73.7762396176
BAKYIY_clean 298 10000 78.5147373864
CIWROQ_clean 298 10000 81.3393402514
CUWTOF_clean 298 10000 53.5433932133
GALCAZ_clean 298 10000 55.8479407715
GONNAA_clean 298 10000 96.9415655807
GUKNIK_clean 298 10000 1.7150974714
HAWVEI_clean 298 10000 55.9768972829
HOYREU_clean 298 10000 64.9113596318
ICAROV_clean 298 10000 133.2681547994
ja5b02999_si_002_clean 298 10000 129.1143841488
KAKCEH_clean 298 10000 77.6086748201
LIBQIY_clean 298 10000 81.0167103933
MANDUD_clean 298 10000 95.0433516553
MIXBEC_clean 298 10000 115.4122319445
NEDMEP_clean 298 10000 73.2497024572
QIFTUW_clean 298 10000 53.5848511765
RUKDIM_clean 298 10000 121.6822621533
ULOKEN_clean 298 10000 75.8576282
YIBMON01_clean 298 10000 39.8751734645
ZACCUB_clean 298 10000 63.7066087277
BUKRUW03_clean 298 10000 110.2990561069
CUTFON_charged 298 10000 58.7065886761
EWOBEZ_clean 298 10000 43.3282414531
GADFAV_clean 298 10000 40.8931850445
GEDSAL_clean 298 10000 90.696083208
GEZFOI_charged 298 10000 0.0086335199
HEXNUU_clean 298 10000 60.6951921954
JUNBOL_clean 298 10000 38.7179871638
KEXKEF_clean 298 10000 52.1897160731
LARNIE_clean 298 10000 37.7369824212
LAWHEZ01_clean 298 10000 40.3087270817
MUHNUA_clean 298 10000 42.2130285769
OGIBUD_clean 298 10000 77.4789407054
PUSSEC_clean 298 10000 33.0601868846
QAPQEE_clean 298 10000 46.0209274945
QAXROW_clean 298 10000 39.0277906036
TUVDOD_clean 298 10000 23.3736095929
TUYHOL_clean 298 10000 39.9993303035
