"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","predicted"
"789","7358",0.86,7.6,12,5465,2102,101.2570832437,95.4321629810012
"790","7361",0.95,19.6,23.1,7084,1036,39.3846011112,31.2920123649949
"791","7363",0.95,20.8,25.1,7669,943,30.3830547998,27.4139732650335
"792","7388",0.97,28.6,34.3,9246,616,19.1346548678,19.4529452534195
"793","7389",0.91,12.8,16.1,6105,1540,59.2098885319,49.5883734899398
"794","7415",0.96,22.7,27.2,7178,902,31.4775908518,25.4633307265749
"795","7425",0.96,23.9,28.8,8229,780,22.3920658542,23.1316977218323
"796","7460",0.96,26.1,29.9,7782,769,23.6229999255,23.0935787434328
"797","7472",0.97,31.1,33.9,7706,675,24.9676426145,21.7065246218949
"798","7495",0.91,15.2,16.9,5519,1427,45.6572554617,43.5162983900613
"799","7500",0.92,18.2,19.9,6042,1249,41.2282159547,40.2203018164292
"800","7502",0.81,9.7,12.3,4206,1791,84.5037592251,87.3234700451255
"801","7508",0.95,21.7,25,7163,994,30.9782414202,28.5363702463732
"802","7520",0.96,25.1,28.1,7078,863,32.938547016,24.7430482037027
"803","7523",0.96,25.3,28.6,8156,825,25.9535438877,23.0528644470849
"804","7591",0.8,7.6,8.9,3512,2320,91.0978752247,121.061602222299
"805","7625",0.94,18.2,20.8,6595,1078,28.1432650422,28.5387310350924
"806","7635",0.63,3.9,5.3,401,565,221.4274148906,151.214174930802
"807","7671",0.95,19.1,20.3,6500,1066,21.3620078633,31.0145969122744
"808","7673",0.95,20.6,22.4,6741,952,26.0638571456,26.994139189923
"809","7686",0.86,9.2,11,4610,2041,98.5144799608,90.3632384467146
"810","7696",0.92,13.7,17.3,5785,1536,51.3728073398,48.4646546818329
"811","7699",0.93,14.2,16.5,6344,1414,42.4367066304,43.4648469583566
"812","771",0.97,28.7,40.5,7782,635,23.1700509811,21.1301656281708
"813","7714",0.94,16.2,18.6,7226,1217,28.5612621797,38.259499179165
"814","7716",0.84,7.9,8.8,4167,2319,96.0712188214,114.751003812022
"815","7717",0.94,17.6,20.4,6944,1155,30.5198505224,30.506879316382
"816","7721",0.95,20.8,23.4,6882,940,26.4893836705,28.0364267834564
"817","7735",0.89,11.4,12.9,4833,1798,51.2321412591,66.3018526651172
"818","7744",0.93,14.8,17.7,6022,1384,45.2106225963,43.0323437220033
"819","7799",0.94,17.3,20.9,6367,1253,42.1546083639,38.2414240228407
"820","7802",0.94,18.1,21.4,6701,1140,26.8194948768,31.0181714152423
"821","7804",0.95,17.4,19.1,7724,1218,28.9650037539,36.8996754807171
"822","7808",0.96,19.6,24.1,6571,1032,36.1644274334,29.9834317281087
"823","7812",0.89,9.8,10.9,5008,2040,63.1904937054,81.2577939952354
"824","782",0.97,29.5,41.8,8947,608,18.4378949632,19.7178884997293
"825","7820",0.97,23.9,26,8431,780,20.7460784405,23.5402148231647
"826","7846",0.95,21.1,24.2,7578,977,29.3047035636,28.0438438417506
"827","7848",0.9,12.1,13.7,6652,1635,48.0665691394,63.1562270056382
"828","785",0.98,32.7,45.2,7827,532,21.39833732,19.7922303229955
"829","7856",0.96,22.2,23.9,8632,822,21.8457905812,24.0987774063307
"830","7875",0.59,4.8,12.2,1245,1168,146.6670442772,150.907329349588
"831","7896",0.57,4.4,10.7,991,1180,127.3930753932,154.670865071537
"832","7897",0.84,10.1,22,3999,1736,59.6438338241,66.909588196173
"833","7903",0.87,11.2,23.1,4033,1625,101.4364245152,63.5668619327792
"834","7904",0.87,10.8,22.3,4749,1729,56.4549506499,72.0722807189427
"835","7908",0.86,11.6,24.1,4528,1628,62.7318343116,72.3121266242191
"836","7920",0.58,4.3,10,1040,1065,167.0585942467,149.62869210743
"837","7923",0.77,7.7,19.6,2668,1548,113.6882441274,115.500691129304
"838","7925",0.82,10.9,20.7,3108,1665,67.0801482594,73.790724479349
"839","7952",0.91,16.5,29.3,5545,1413,39.5029437567,47.5570731716669
"840","7954",0.81,9.1,18.5,3098,1829,83.7690390803,77.4275603410235
"841","7967",0.77,10.5,15,2464,1521,123.8320575302,122.176036652061
"842","7971",0.69,8.1,17.6,1558,1407,86.6887171077,118.910675085731
"843","7972",0.69,8.9,17.3,1575,1483,66.5702112915,120.064985789242
"844","7998",0.86,13.5,27.9,3589,1445,42.8896993316,78.1503209351728
"845","8001",0.66,6.3,14.2,1487,1709,91.9245682415,164.204202252335
"846","801",0.94,19.6,28.7,7043,1073,34.4334192787,32.2979003798368
"847","805",0.78,17.8,22.6,1887,1099,39.4594163014,81.5261115162452
"848","8051",0.96,23.5,49.6,7045,828,23.0014457828,25.7894902193383
"849","8071",0.94,17,34.3,6453,1171,28.0482946756,33.0960970482851
"850","8089",0.95,22.3,45.9,7760,962,26.7817845327,27.7089371785009
"851","8090",0.95,22.9,45.7,7659,953,26.6127242156,27.0397514172571
"852","8105",0.97,30.5,58.9,8739,636,18.9809511775,20.2282259053821
"853","8110",0.87,12.2,26.6,4423,1523,81.9291930022,57.55254726637
"854","8122",0.93,19.4,40.5,6418,1091,35.0331753272,34.8049514321517
"855","8125",0.95,19.7,37.2,5905,1036,39.053661392,34.2735856994799
"856","8149",0.97,27.7,58.1,7580,686,24.3323792892,20.9391151609517
"857","8154",0.89,12.7,25.8,4396,1485,66.1680366955,54.0666728670833
"858","8159",0.88,11.9,28.3,4077,1465,73.7422315514,59.832467643723
"859","8161",0.87,12.8,30.1,4301,1363,68.1629004804,56.7987895397991
"860","8165",0.91,15,32.1,5333,1304,50.3928316129,41.1742842570476
"861","8170",0.95,20.7,45.3,6139,969,37.76347051,29.7793484808116
"862","8171",0.95,20.9,43.8,6280,942,30.8559038788,28.8938241612559
"863","8175",0.86,11.2,25.8,3811,1517,81.392449466,70.1239728114811
"864","8178",0.96,23.6,49.1,7086,900,27.9239654311,25.7860940508024
"865","8199",0.93,16.6,35.8,6636,1189,33.4742621341,36.5447866361892
"866","82",0.85,14.9,16.5,4000,1641,43.4254570083,72.6754540991557
"867","8200",0.94,19,39.7,6983,1065,24.9334291129,33.9928219630734
"868","8204",0.91,14.5,33.8,6243,1258,27.5809492952,42.2980336771731
"869","8227",0.96,28.5,55,7501,689,21.484320413,21.4880391467454
"870","8228",0.97,29.9,59.4,8024,671,21.2344952312,20.8682222904496
"871","8238",0.89,17.1,35.7,4899,1200,43.6749010356,49.2623442483485
"872","8251",0.93,19.4,35.8,5781,1204,40.2998335736,45.8008017490569
"873","8252",0.81,9.9,17.1,3098,1819,69.5620990841,76.0239382452835
"874","8254",0.93,17.4,34.5,5392,1185,45.6042899721,42.4517761643128
"875","8258",0.93,19.8,40.3,5900,1077,34.6157748263,35.8610798493784
"876","8262",0.94,20.9,39.9,6875,1043,32.5365030282,30.6152640828091
"877","8280",0.96,28.5,54.6,6200,706,18.5380560774,22.4564339367159
"878","8311",0.87,10.6,23.1,4078,1496,56.6934074106,77.1774532557472
"879","8327",0.97,28.2,55.3,7269,682,22.1206460452,22.1339230502675
"880","8333",0.9,14.8,28,4421,1387,50.8728156915,54.3957649776096
"881","8346",0.93,16.5,35.5,5310,1161,40.7473547987,42.3146134792184
"882","8373",0.96,25.2,51.9,6656,727,19.9144565025,22.5812259905612
"883","8410",0.95,23.5,48.9,7095,904,28.128190328,27.7284455365751
"884","8417",0.96,24.6,50.5,7181,773,26.2111039577,24.04102016603
"885","8435",0.89,17,34.9,4949,1211,46.1360183575,47.925101584795
"886","8448",0.95,25,49,6655,849,30.8140358088,25.4306938539244
"887","8451",0.95,24.3,49.3,6336,810,21.3915917392,26.6258936327016
"888","8455",0.89,12.3,28.2,5270,1478,51.0591101179,56.2488761517146
"889","8463",0.96,27,54.9,7760,718,20.4146190196,22.2625255443904
"890","8466",0.9,14.1,31,5744,1454,40.9969675839,53.6692880967772
"891","8487",0.89,13,25,5127,1498,51.4639618966,56.4628134527085
"892","849",0.79,15.9,22.2,2019,1192,46.5165429464,77.9282626624014
"893","8502",0.94,20.1,39.8,6862,1037,32.7371341623,32.1911015367724
"894","8517",0.96,25.2,49,6487,812,19.6108081754,24.8624447636012
"895","8518",0.96,28.1,55.6,7268,752,25.7826910121,22.3383272929084
"896","856",0.75,18.6,19.6,2274,1586,91.6939982625,104.352497670791
"897","8594",0.88,9.6,22.1,4692,1840,86.4773539604,76.9798402324123
"898","8599",0.78,6.3,16.3,2302,1649,179.7525517271,149.686022178587
"899","8630",0.86,8.2,22,4155,1901,104.1564335707,93.6415829687157
"900","8631",0.86,7.9,21.2,4244,1913,100.0776560363,100.415152443636
"901","8635",0.88,8.8,24.5,4848,1810,77.5169851446,79.4055780291626
"902","8638",0.89,10.7,24,4397,1687,90.0762117983,67.2965825409523
"903","8642",0.9,9.9,26.5,4907,1693,74.5875578432,65.9693325310144
"904","8657",0.91,12,28.3,5666,1565,62.8799646356,54.6889266040754
"905","8658",0.84,6.5,19.2,3466,1966,122.6598335969,128.858157542629
"906","8662",0.92,12.8,31.8,5993,1463,56.7888745645,45.7227133134775
"907","8683",0.88,9.6,23.6,5058,1865,80.4798532225,76.7814458077675
"908","8692",0.91,10.5,25.6,5384,1619,55.1604530325,65.2155575633666
"909","8709",0.92,12.3,29.5,5374,1471,47.8911077012,50.7995043607264
"910","8717",0.83,6.5,18.2,3469,2016,142.430105496,124.93666800883
"911","8719",0.8,7.4,15.8,3237,1876,171.901775496,107.631685959776
"912","8732",0.84,7.1,19.9,3467,1900,128.0833582631,112.534058567633
"913","8739",0.91,11,28,4900,1561,57.0537136539,58.5375693362013
"914","8749",0.92,11.7,29.2,5725,1509,47.3850273752,53.914042200305
"915","8769",0.83,6.3,18.2,2810,1866,184.8322818157,129.520918424315
"916","8788",0.92,11.2,27.3,5667,1513,49.3239703626,54.9421630373841
"917","88",0.9,16.7,19.8,4916,1450,32.6460924878,46.6582132451806
"918","881",0.91,40.7,41.9,4544,1158,56.3526509995,43.5477110149029
"919","8871",0.41,5.3,6.4,544,1051,107.6376836021,152.272029428429
"920","8883",0.82,11.8,14.4,3669,1910,68.1960803665,69.9641584726413
"921","8887",0.85,14.6,17.5,3938,1682,66.3620427096,60.1167474102733
"922","8894",0.85,12.8,17.6,4017,1730,44.7127177255,67.8127199068976
"923","8903",0.88,15.9,19.4,4656,1538,52.1444160874,60.6399573592464
"924","8928",0.87,12.9,16.4,4533,1770,99.4653344677,66.7590927273658
"925","8945",0.92,19.6,23.3,5926,1438,62.1664632368,44.3680858088513
"926","8948",0.92,20.1,22.5,6309,1369,37.2681898799,40.7784248360326
"927","8954",0.94,22,26.6,6085,1280,54.0718960821,41.5145679297986
"928","90",0.58,5.1,6.7,1196,1478,118.0951340319,149.344765242526
"929","9008",0.91,17.3,21.7,5341,1387,48.116662026,42.338634344091
"930","904",0.82,26,27,2744,1409,98.6923299855,95.3414913719936
"931","9047",0.93,25.9,27.1,5731,1379,62.6807678598,50.7478572678025
"932","9050",0.92,18.7,21.4,6039,1373,40.0226025042,42.3321457255323
"933","9064",0.95,27,32.9,6895,1057,36.4651796853,29.155396418186
"934","9082",0.85,11.7,14.7,3762,1875,76.6591250029,75.673742488561
"935","9109",0.89,15.4,19,4995,1515,55.6536271299,47.168230444393
"936","9123",0.83,14,15.9,3569,1611,109.4508677861,73.7125733825089
"937","9143",0.92,10.6,13.1,2657,1733,237.2560599212,76.397258142533
"938","9152",0.86,15.6,16.9,5440,1778,71.7447853219,67.446308482134
"939","9174",0.93,22.5,24.4,7417,1380,37.1211002431,40.1443839386648
"940","918",0.91,41.3,42.8,4171,1156,42.8537712983,47.9301027807679
"941","9185",0.94,29,31.5,6488,1064,32.9251693877,33.7075669703099
"942","9214",0.9,21,22.3,5698,1444,32.165359291,52.8678012047929
"943","9215",0.9,19.8,21.8,4773,1370,58.6295705781,45.2707006117106
"944","9251",0.78,12.6,15.4,2804,1526,137.4857496944,103.55379157233
"945","9277",0.91,21.9,22.7,5967,1462,36.0728822829,48.8145977934255
"946","9280",0.91,19.9,22.3,5685,1399,48.6899366082,45.4760984854842
"947","9282",0.81,12.3,13.3,2964,1684,114.9398468817,84.0712185736987
"948","9283",0.91,22.2,23.6,5943,1378,47.6985831393,46.6126371999513
"949","9305",0.78,12.5,13.3,2642,1584,117.8133050976,106.061113952477
"950","932",0.92,43.3,44.4,4867,1170,32.2365465208,47.1961708289449
"951","9324",0.89,18.3,21.5,4604,1492,52.2690663977,53.7461264041523
"952","9332",0.89,20.5,21.7,5049,1460,50.2577785972,53.0198204644255
"953","9349",0.77,7.7,18.9,2271,1551,102.029977001,119.403351921894
"954","9362",0.87,13.6,27,4757,1517,60.372277615,58.8233715265034
"955","9385",0.94,20.9,40.5,7452,1075,28.8356990166,29.9139163517204
"956","9395",0.74,12.1,14.3,2152,1461,71.6468738428,120.994945636668
