"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","Min","Median","Q1","predicted"
"132","1151",0.8,27.6,29.5,2204,1173,21.1022779282,-2236.72,-14.21205,-277.98675,19.4479593411801
"133","11514",0.95,25.2,33.9,6549,968,3.5578030382,-1415.83,-21.3894,-133.234,3.28916039238141
"134","11516",0.95,24.8,35,6818,939,2.8071094654,-1294.52,-19.7299,-121.2345,2.74378765304812
"135","11547",0.62,6.2,7.9,618,856,86.4878811485,-2067.01,18423.5,-830.627,75.2776869056133
"136","11554",0.91,16.5,21.8,5535,1512,3.6144732893,-1219.6,-91.3295,-293.0745,3.94699925434367
"137","1156",0.86,32.8,33.3,3183,1293,10.831584464,-1765.09,-18.5074,-282.642,10.4132396589594
"138","1157",0.89,33.7,35.2,3819,1352,5.9707216377,-1318.23,-23.6517,-275.324,6.32972118422977
"139","11575",0.94,24.3,31.8,6566,1035,2.1948602194,-887.123,-27.551,-138.63,2.31468124690526
"140","11590",0.8,10,12.6,3316,1986,13.2603665888,-1762.3,-232.317,-541.841,14.1839930870943
"141","11612",0.93,31.6,34,5329,1142,3.6802471337,-1543.61,-23.75975,-186.558,3.94222098395362
"142","11618",0.93,32.4,34.7,5634,1075,2.5289927879,-1204.68,-19.2416,-154.8515,2.72560643532853
"143","1162",0.9,38.2,38.9,4001,1224,7.077539153,-1600.16,-15.5268,-245.742,6.87001189101251
"144","1163",0.92,46.5,47.4,4618,1035,4.1965775798,-1545.3,-13.16235,-179.53925,4.05225630684859
"145","11650",0.93,28.3,29.8,5911,1256,3.455515927,-1144.76,-37.8843,-226.13725,3.63265345551232
"146","11664",0.95,34,35.5,6984,1022,3.5821055731,-1523.35,-17.6369,-155.226,3.53447799541137
"147","11695",0.89,20.8,22.7,3889,1386,7.2352605666,-1417.4,-50.054,-297.943,6.62572178389475
"148","11696",0.92,28.3,29.5,5079,1263,5.9379416004,-1352.93,-36.74755,-260.65425,5.48504164787108
"149","11711",0.94,27.3,29.5,5836,1144,5.8676395358,-1705.6,-26.1722,-209.9725,5.37565627847184
"150","11713",0.87,20.8,21.7,2917,1192,12.6482094165,-1953.56,-59.36795,-326.55575,11.8073463141062
"151","11725",0.95,35.3,37.6,6653,942,3.3846293713,-1640.96,-14.9585,-129.884,3.29093601123342
"152","11733",0.85,17.4,18.9,3431,1440,13.6065953351,-1854.9,-55.3536,-327,11.8646774910321
"153","11744",0.9,26.2,27.2,5011,1349,6.8880868066,-1381.93,-39.5763,-268.8895,6.04818370648483
"154","11752",0.93,30.7,32.9,5430,1147,5.3215203626,-1458.16,-24.9174,-222.198,5.01629498500338
"155","11757",0.94,34.8,37.1,5310,1025,3.1291253906,-1392.24,-20.0537,-163.319,3.27567316601359
"156","11766",0.95,39.5,42,6855,951,3.0158385252,-1247.69,-14.45425,-137.88775,2.95222914562479
"157","11778",0.96,44.3,47.7,6020,742,2.1856275867,-1355.56,-7.00297,-77.16575,2.33311177679559
"158","11832",0.88,29.4,30.8,4515,1224,6.7766879569,-1753,-26.68775,-232.05325,7.02438754057143
"159","11849",0.93,32.1,32.9,4948,1196,9.3878092976,-1546.25,-19.4887,-224.9185,7.25236472884341
"160","11911",0.97,33.8,56.6,7031,544,1.3665067171,-919.532,-2.12453,-31.1932,1.49309404527534
"161","1192",0.82,28.5,29.3,2158,1188,18.8934692308,-2061.35,-17.1572,-285.412,18.1380220119692
"162","11922",0.978429,41.11106,67.58119,6475.974048,411.864288,1.3143049018,-1044.65,0,-17.74575,1.41935527261531
"163","11933",0.94,21.3,38.7,6012,996,3.0314335965,-1240.03,-27.0815,-142.7295,2.91802271726417
"164","11948",0.97,32.6,55.2,7328,578,1.8161908627,-1083.98,-3.126,-45.0605,1.78190096437853
"165","11973",0.95,20.3,35.1,6158,1004,2.699798679,-1132.19,-24.77485,-138.24,2.65859466910451
"166","11982",0.95,23.1,40.2,6247,911,2.7340646365,-1211.4,-21.8348,-122.306,2.66603529061951
"167","11990",0.93,18.9,32.9,5652,1130,2.7604759027,-1045.99,-32.17195,-165.45575,2.77430868397507
"168","11998",0.98,32.5,55.2,7958,560,1.5364468541,-1000.1,-3.51101,-40.322425,1.62547030788991
"169","12010",0.98,33.1,57.4,8058,532,1.674150847,-1220.49,-2.28735,-34.290175,1.68709141546026
"170","12012",0.94,19.3,36.2,6136,1084,2.6749753809,-1010.76,-32.3983,-157.56175,2.68163767443399
"171","1206",0.87,27.3,28.8,4204,1505,12.6153587635,-1739.01,-44.19115,-389.89375,11.4674137426359
"172","12083",0.97,31.3,53.2,7147,626,2.0815301028,-1535.58,-4.31634,-53.472325,2.1147352168187
"173","12091",0.975453,35.70438,61.6924,7633.935043,503.498741,1.7720057665,-1305.29,-0.906618,-32.295,1.73804945175866
"174","12092",0.975165,36.1234,60.5387,7419.860473,500.083572,1.705571815,-1327.43,-0.8993995,-31.51135,1.72832591672784
"175","121",0.49,7,7.9,1147,913,78.5909016323,-2129.41,82008.2,-333.3765,65.4880794955689
"176","12131",0.96,28.7,48.1,6445,720,2.8755798755,-1780.94,-7.21284,-74.0802,2.70412064126853
"177","12138",0.97,30.1,51.1,7735,638,1.8880089089,-1299.53,-4.98284,-53.4801,1.95984660667755
"178","12147",0.97,32.7,54.9,8029,588,1.6058862092,-902.532,-3.20245,-44.2507,1.63478557457117
"179","1215",0.9,31.1,33.1,5104,1387,6.2162735465,-1665.1,-53.9541,-301.95375,6.31095037020073
"180","12152",0.975557,36.29034,59.47922,7859.448716,517.479617,1.6555363681,-1190.8,-1.05177,-33.117325,1.67935272619309
"181","12184",0.95,21.2,34.4,7565,1000,1.8470943102,-808.287,-24.4415,-124.323,2.0941294652884
